title,url,score,comments,by,hn_url
Terrence Tao's ChatGPT Conversation about the Jacobian Conjecture Counterexample,https://chatgpt.com/share/6a5fdc7a-d6f8-83e8-bbea-8deb42cfed56,615,376,gmays,https://news.ycombinator.com/item?id=49010345
Quality non-fiction books are the antithesis of AI slop,https://resobscura.substack.com/p/quality-non-fiction-books-are-the,158,75,benbreen,https://news.ycombinator.com/item?id=49007247
GigaToken: ~1000x faster Language model tokenization,https://github.com/marcelroed/gigatoken/,370,72,syrusakbary,https://news.ycombinator.com/item?id=49010167
Show HN: Bento - An entire PowerPoint in one HTML file (edit+view+data+collab),https://bento.page/slides/,653,150,starfallg,https://news.ycombinator.com/item?id=49008211
Medici family mystery may be solved after more than 400 years,https://www.cnn.com/2026/07/15/science/medici-family-mystery-dna-malaria,78,18,effects,https://news.ycombinator.com/item?id=49014007
Are AI Labs Pelicanmaxxing?,https://dylancastillo.co/posts/pelicanmaxxing.html,398,156,dcastm,https://news.ycombinator.com/item?id=49010129
Everyone Should Know SIMD,https://mitchellh.com/writing/everyone-should-know-simd,257,73,WadeGrimridge,https://news.ycombinator.com/item?id=49010648
Show HN: Cactus Hybrid: We taught Gemma 4 to know when it's wrong,https://github.com/cactus-compute/cactus-hybrid,67,12,HenryNdubuaku,https://news.ycombinator.com/item?id=49010782
"Malleable Computing, Emacs, and You",http://yummymelon.com/devnull/malleable-computing-emacs-and-you.html,68,16,kickingvegas,https://news.ycombinator.com/item?id=49013538
John C. Dvorak has died,https://twitter.com/na_announce/status/2079952538040672302,555,176,coleca,https://news.ycombinator.com/item?id=49012070
